# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 22 10:30:00 2021
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_vet_stat:   Vetting Status
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_comment:    Comment
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN koi_sage_err1:  Stellar Age Upper Unc. [Gyr]
# COLUMN koi_sage_err2:  Stellar Age Lower Unc. [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec,koi_kepmag
2853,2716801,K03053.01,Kepler-1419 b,CONFIRMED,Done,CANDIDATE,0.9590,0,0,0,0,NO_COMMENT,42.521700600,5.9420000e-04,-5.9420000e-04,136.1274000,1.290000e-02,-1.290000e-02,0,,,5.72300,0.25300,-0.25300,6.8560e+02,4.910e+01,-4.910e+01,2.45,7.500e-01,-2.500e-01,510.0,,,15.97,14.74,-4.73,50.900000,19.400000,-19.400000,5911.00,177.00,-195.00,0.9140,0.2810,-0.0940,1.0060,0.1230,-0.1230,,,,292.254640,37.971420,15.761
2854,7281454,K03055.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,1,0,0,1,LPP_DV---EPHEM_MATCH,0.566805887,,,131.8203886,,,0,,,5.23170,,,1.7000e+00,,,0.08,0.000e+00,-1.000e-02,1554.0,,,1368.32,315.19,-285.73,1.031211,,,5000.00,150.00,-150.00,0.5490,0.0250,-0.0300,0.5610,0.0380,-0.0170,,,,291.601750,42.863880,14.648
2855,7216284,K03056.01,Kepler-1420 b,CONFIRMED,Done,CANDIDATE,0.9720,0,0,0,0,NO_COMMENT,6.699588510,4.2960000e-05,-4.2960000e-05,134.1468000,4.940000e-03,-4.940000e-03,0,,,2.83100,0.15500,-0.15500,2.5370e+02,2.200e+01,-2.200e+01,1.24,2.200e-01,-9.000e-02,806.0,,,99.83,54.70,-24.03,18.350000,3.400000,-3.400000,5296.00,159.00,-159.00,0.7990,0.1380,-0.0590,0.9010,0.0580,-0.0990,,,,296.203830,42.777828,15.883
2856,8703887,K00287.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,HAS_SEC_TCE---CENT_SATURATED,14.170972781,4.7930000e-06,-4.7930000e-06,175.6077500,2.680000e-04,-2.680000e-04,0,,,3.73160,0.03260,-0.03260,1.3496e+04,5.460e+01,-5.460e+01,20.88,6.480e+00,-2.770e+00,1288.0,,,650.07,591.72,-242.01,27.540000,2.900000,-2.900000,8347.00,226.00,-368.00,1.7150,0.5320,-0.2280,1.8260,0.3040,-0.3040,,,,296.935000,44.850269,11.054
2857,9899352,K03135.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,1,1,MOD_SEC_ALT---CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,1.332562831,6.8580000e-06,-6.8580000e-06,132.0508800,4.960000e-03,-4.960000e-03,0,,,6.24000,0.22800,-0.22800,2.9790e+02,9.600e+00,-9.600e+00,24.29,5.850e+00,-1.950e+00,1532.0,,,1301.29,926.14,-325.04,1.290000,0.452000,-0.452000,5718.00,153.00,-170.00,0.8630,0.2080,-0.0690,0.9600,0.0950,-0.1160,,,,295.210360,46.749321,15.846
2858,6945786,K03136.01,,CANDIDATE,Done,CANDIDATE,0.9900,0,0,0,0,NO_COMMENT,2.391619660,1.1990000e-05,-1.1990000e-05,133.0795600,4.020000e-03,-4.020000e-03,0,,,1.90600,0.12700,-0.12700,1.8920e+02,1.650e+01,-1.650e+01,0.93,8.000e-02,-9.000e-02,1031.0,,,266.01,88.79,-72.54,9.290000,2.700000,-2.700000,4935.00,147.00,-133.00,0.6850,0.0610,-0.0680,0.6630,0.0880,-0.0440,,,,290.889310,42.459660,15.738
2859,5978170,K03140.01,,CANDIDATE,Done,CANDIDATE,0.9680,0,0,0,0,CENT_KIC_POS,5.688790830,3.8900000e-05,-3.8900000e-05,131.6672000,5.470000e-03,-5.470000e-03,0,,,2.55000,0.16000,-0.16000,2.4150e+02,2.020e+01,-2.020e+01,0.99,5.000e-02,-9.000e-02,645.0,,,40.88,10.50,-11.16,15.970000,5.400000,-5.400000,4234.00,128.00,-141.00,0.6390,0.0360,-0.0560,0.6360,0.0560,-0.0560,,,,296.617250,41.281189,15.561
2860,5440317,K03141.01,Kepler-1438 b,CONFIRMED,Done,CANDIDATE,0.8930,0,0,0,0,NO_COMMENT,2.319415710,1.6010000e-05,-1.6010000e-05,131.9392500,5.400000e-03,-5.400000e-03,0,,,1.59100,0.15500,-0.15500,9.6400e+01,1.020e+01,-1.020e+01,1.24,2.000e-01,-2.000e-01,1490.0,,,1164.84,496.62,-391.39,10.190000,3.400000,-3.400000,5624.00,76.00,-76.00,1.2480,0.2030,-0.2030,1.0230,0.0690,-0.0550,,,,289.289790,40.681671,14.869
2861,10545066,K00337.01,Kepler-528 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,19.783025900,6.6140000e-05,-6.6140000e-05,177.7201300,2.300000e-03,-2.300000e-03,0,,,5.48980,0.07670,-0.07670,3.7320e+02,1.010e+01,-1.010e+01,2.10,3.200e-01,-2.800e-01,708.0,,,59.39,25.52,-18.05,28.010000,1.500000,-1.500000,5747.00,115.00,-104.00,1.0990,0.1640,-0.1480,0.9530,0.0790,-0.0570,,,,295.684810,47.748081,13.936
2862,6056992,K00051.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,1,0,DEEP_V_SHAPED---CENT_KIC_POS,10.431146765,3.2670000e-06,-3.2670000e-06,133.9363370,2.640000e-04,-2.640000e-04,0,,,3.88530,0.01860,-0.01860,2.9376e+04,9.200e+01,-9.200e+01,50.44,0.000e+00,0.000e+00,833.0,,,114.02,0.00,0.00,16.420000,6.500000,-6.500000,5780.00,,,1.0000,,,1.0000,,,,,,295.918850,41.332432,13.761
2863,10552611,K00338.01,Kepler-141 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,7.010632400,1.3620000e-05,-1.3620000e-05,174.5754200,1.550000e-03,-1.550000e-03,0,,,3.06880,0.04880,-0.04880,3.2730e+02,7.200e+00,-7.200e+00,1.50,8.000e-02,-7.000e-02,738.0,,,70.32,14.39,-11.12,13.190000,5.000000,-5.000000,4908.00,98.00,-98.00,0.7820,0.0430,-0.0350,0.8240,0.0340,-0.0410,,,,297.970890,47.731682,13.448
2864,10552611,K00338.02,Kepler-141 b,CONFIRMED,Done,CANDIDATE,0.9990,0,0,0,0,NO_COMMENT,3.107626840,1.5370000e-05,-1.5370000e-05,132.6335900,3.690000e-03,-3.690000e-03,0,,,2.36100,0.12200,-0.12200,7.7200e+01,5.600e+00,-5.600e+00,0.73,4.000e-02,-3.000e-02,968.0,,,207.72,42.50,-32.87,7.350000,3.600000,-3.600000,4908.00,98.00,-98.00,0.7820,0.0430,-0.0350,0.8240,0.0340,-0.0410,,,,297.970890,47.731682,13.448
2865,10587105,K00339.01,Kepler-529 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,1.980356674,2.3220000e-06,-2.3220000e-06,170.1396010,8.620000e-04,-8.620000e-04,0,,,2.47430,0.03360,-0.03360,2.7190e+02,4.400e+00,-4.400e+00,2.10,3.500e-01,-3.100e-01,1662.0,,,1808.41,850.50,-611.67,4.500000,2.000000,-2.000000,6078.00,121.00,-133.00,1.1890,0.1970,-0.1780,1.0050,0.0910,-0.0630,,,,285.888370,47.880379,13.763
2866,10587105,K00339.02,Kepler-529 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,12.834477100,3.9950000e-05,-3.9950000e-05,138.3262600,2.600000e-03,-2.600000e-03,0,,,3.84600,0.13900,-0.13900,2.8100e+02,8.600e+00,-8.600e+00,2.55,4.200e-01,-3.800e-01,891.0,,,149.42,70.27,-50.54,9.100000,4.500000,-4.500000,6078.00,121.00,-133.00,1.1890,0.1970,-0.1780,1.0050,0.0910,-0.0630,,,,285.888370,47.880379,13.763
2867,6948480,K02975.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE,175.329014000,2.6030000e-03,-2.6030000e-03,230.9292000,1.170000e-02,-1.170000e-02,0,,,6.26900,0.53200,-0.53200,1.0591e+03,7.560e+01,-7.560e+01,27.03,8.490e+00,-2.810e+00,327.0,,,2.69,2.49,-0.82,63.200000,31.000000,-31.000000,6008.00,168.00,-210.00,0.9300,0.2920,-0.0970,0.9950,0.1310,-0.1310,,,,291.787540,42.469528,15.310
2868,6438099,K02976.01,,CANDIDATE,Done,CANDIDATE,0.9890,0,0,0,0,NO_COMMENT,21.613133620,9.5470000e-05,-9.5470000e-05,137.0268900,3.770000e-03,-3.770000e-03,0,,,1.52000,0.12800,-0.12800,8.1810e+02,7.040e+01,-7.040e+01,1.94,2.300e-01,-1.000e-01,503.0,,,15.14,6.15,-3.12,80.300000,33.600000,-33.600000,5267.00,156.00,-156.00,0.6320,0.0750,-0.0340,0.7010,0.0530,-0.0590,,,,290.220670,41.868721,15.862
2869,11090556,K02977.01,Kepler-1398 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,2.788179300,1.8520000e-05,-1.8520000e-05,131.8455800,5.710000e-03,-5.710000e-03,0,,,3.39700,0.13900,-0.13900,5.5800e+01,3.400e+00,-3.400e+00,1.02,1.800e-01,-2.000e-01,1510.0,,,1228.07,538.44,-496.01,6.329000,0.405000,-0.405000,5758.00,78.00,-86.00,1.3850,0.2320,-0.2830,1.0290,0.0900,-0.0730,,,,294.866180,48.638981,13.710
2870,11090556,K02977.02,Kepler-1398 c,CONFIRMED,Done,CANDIDATE,0.9840,0,0,0,0,NO_COMMENT,4.138276840,2.5960000e-05,-2.5960000e-05,133.2285000,5.040000e-03,-5.040000e-03,0,,,3.44900,0.18000,-0.18000,6.3800e+01,4.200e+00,-4.200e+00,1.13,1.900e-01,-2.300e-01,1324.0,,,725.53,318.11,-293.04,8.050000,2.700000,-2.700000,5758.00,78.00,-86.00,1.3850,0.2320,-0.2830,1.0290,0.0900,-0.0730,,,,294.866180,48.638981,13.710
2871,10686814,K02978.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,0,1,1,CENT_UNRESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,2.618462580,1.9480000e-05,-1.9480000e-05,134.0294500,5.580000e-03,-5.580000e-03,0,,,3.50500,0.24800,-0.24800,2.7530e+02,1.780e+01,-1.780e+01,1.03,6.000e-02,-9.000e-02,843.0,,,119.68,30.53,-31.98,5.821000,0.253000,-0.253000,4266.00,128.00,-128.00,0.6430,0.0360,-0.0580,0.6380,0.0560,-0.0560,,,,299.034480,47.904850,15.593
2872,3234843,K03057.01,Kepler-405 c,CONFIRMED,Done,CANDIDATE,0.9970,0,0,0,0,NO_COMMENT,29.727220000,2.0160000e-04,-2.0160000e-04,134.6581000,5.540000e-03,-5.540000e-03,0,,,3.45000,0.14600,-0.14600,1.0102e+03,5.550e+01,-5.550e+01,3.02,9.100e-01,-2.900e-01,557.0,,,22.70,20.22,-6.57,47.100000,20.400000,-20.400000,5815.00,163.00,-204.00,0.8770,0.2640,-0.0830,0.9730,0.1110,-0.1220,,,,291.409450,38.340019,15.855
2873,6021275,K00284.01,Kepler-132 A d,CONFIRMED,Done,CANDIDATE,0.9710,0,0,0,0,NO_COMMENT,18.010199560,4.3740000e-05,-4.3740000e-05,179.4213700,1.990000e-03,-1.990000e-03,0,,,3.51600,0.12500,-0.12500,1.7770e+02,4.500e+00,-4.500e+00,1.93,2.700e-01,-3.100e-01,758.0,,,77.99,31.37,-26.86,12.360000,6.100000,-6.100000,5931.00,107.00,-118.00,1.1010,0.1570,-0.1730,0.9290,0.0660,-0.0660,,,,283.235810,41.343040,11.818
2874,3234843,K03057.02,Kepler-405 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,10.613687120,6.1920000e-05,-6.1920000e-05,140.8531600,4.980000e-03,-4.980000e-03,0,,,3.49800,0.14400,-0.14400,5.5980e+02,3.360e+01,-3.360e+01,2.06,6.300e-01,-1.900e-01,785.0,,,89.65,79.83,-25.95,23.680000,2.400000,-2.400000,5815.00,163.00,-204.00,0.8770,0.2640,-0.0830,0.9730,0.1110,-0.1220,,,,291.409450,38.340019,15.855
2875,8192911,K03058.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,0,1,0,CENT_UNRESOLVED_OFFSET,7.538874420,8.7260000e-05,-8.7260000e-05,135.3319000,1.100000e-02,-1.100000e-02,0,,,3.14700,0.22300,-0.22300,3.4210e+02,3.070e+01,-3.070e+01,1.33,1.400e-01,-1.200e-01,751.0,,,75.14,30.41,-20.81,13.070000,5.800000,-5.800000,5318.00,186.00,-186.00,0.6670,0.0710,-0.0580,0.6460,0.0710,-0.0270,,,,299.728450,44.031811,15.504
2876,10554967,K03059.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,0,1,0,CENT_UNRESOLVED_OFFSET,0.536335190,8.8100000e-07,-8.8100000e-07,131.7144700,1.350000e-03,-1.350000e-03,0,,,1.05470,0.05340,-0.05340,4.4410e+02,1.940e+01,-1.940e+01,1.81,4.400e-01,-1.400e-01,1974.0,,,3603.58,2678.53,-931.70,3.550000,1.200000,-1.200000,5508.00,180.00,-180.00,0.8400,0.2000,-0.0670,0.9550,0.0730,-0.1190,,,,298.653170,47.713711,15.546
2877,3752110,K03142.01,,CANDIDATE,Done,CANDIDATE,0.9620,0,0,0,0,NO_COMMENT,27.943024500,4.7460000e-04,-4.7460000e-04,136.8697000,1.130000e-02,-1.130000e-02,0,,,6.12500,0.47400,-0.47400,3.0860e+02,2.900e+01,-2.900e+01,2.21,6.800e-01,-2.500e-01,718.0,,,62.74,57.50,-19.72,35.380000,9.000000,-9.000000,6468.00,180.00,-225.00,1.2500,0.3880,-0.1390,1.3130,0.1480,-0.1850,,,,292.807220,38.884232,15.243
2878,5688790,K03144.01,Kepler-1439 b,CONFIRMED,Done,CANDIDATE,0.8580,0,0,0,0,CENT_KIC_POS,8.073940970,4.8480000e-05,-4.8480000e-05,540.0416100,4.870000e-03,-4.870000e-03,0,,,2.45500,0.11100,-0.11100,1.0560e+03,7.770e+01,-7.770e+01,1.59,2.000e-01,-1.900e-01,420.0,,,7.33,2.67,-2.18,11.670000,5.800000,-5.800000,3675.00,73.00,-82.00,0.3980,0.0490,-0.0490,0.4280,0.0420,-0.0630,,,,285.739810,40.980049,16.109
2879,1717722,K03145.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,CENT_FEW_MEAS,4.537021210,2.4980000e-05,-2.4980000e-05,132.1846000,4.460000e-03,-4.460000e-03,0,,,1.81300,0.12400,-0.12400,5.0440e+02,3.650e+01,-3.650e+01,1.66,1.900e-01,-1.100e-01,798.0,,,95.61,38.11,-21.67,14.160000,6.300000,-6.300000,4805.00,144.00,-144.00,0.6880,0.0790,-0.0450,0.7690,0.0530,-0.0790,,,,290.617980,37.289089,15.689
2880,1717722,K03145.02,,CANDIDATE,Done,CANDIDATE,0.8580,0,0,0,0,CENT_KIC_POS,0.977311489,4.6310000e-06,-4.6310000e-06,131.7029900,3.430000e-03,-3.430000e-03,0,,,1.40300,0.12700,-0.12700,2.5070e+02,2.050e+01,-2.050e+01,1.06,1.200e-01,-7.000e-02,1331.0,,,737.36,293.96,-167.10,5.430000,0.610000,-0.610000,4805.00,144.00,-144.00,0.6880,0.0790,-0.0450,0.7690,0.0530,-0.0790,,,,290.617980,37.289089,15.689
2881,10908248,K03146.01,Kepler-1440 b,CONFIRMED,Done,CANDIDATE,0.7680,0,0,0,0,NO_COMMENT,39.859505000,1.2650000e-03,-1.2650000e-03,154.7616000,2.410000e-02,-2.410000e-02,0,,,7.98700,0.69500,-0.69500,1.5550e+02,1.330e+01,-1.330e+01,1.62,2.500e-01,-3.100e-01,597.0,,,29.97,12.29,-11.40,35.500000,10.900000,-10.900000,5675.00,76.00,-76.00,1.2920,0.2020,-0.2470,0.9840,0.0740,-0.0670,,,,285.346950,48.312248,14.131
2882,10616571,K00340.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,INDIV_TRANS_RUBBLE---LPP_DV---LPP_ALT---SAME_NTL_PERIOD,23.673124200,1.0120000e-05,-1.0120000e-05,160.6287560,3.380000e-04,-3.380000e-04,0,,,14.39480,0.02920,-0.02920,2.3113e+04,3.230e+01,-3.230e+01,17.74,3.150e+00,-1.950e+00,676.0,,,49.42,24.18,-13.30,14.067000,0.365000,-0.365000,5769.00,104.00,-116.00,1.1770,0.2090,-0.1290,1.1000,0.0680,-0.0680,,,,297.664670,47.801392,13.057
2883,10878263,K00341.01,Kepler-414 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,7.170710381,7.0600000e-06,-7.0600000e-06,176.6668440,7.470000e-04,-7.470000e-04,0,,,2.92250,0.03010,-0.03010,8.6330e+02,1.050e+01,-1.050e+01,2.73,3.200e-01,-2.600e-01,890.0,,,148.09,51.74,-35.38,18.930000,1.300000,-1.300000,5497.00,109.00,-98.00,0.9410,0.1100,-0.0900,0.8840,0.0660,-0.0440,,,,297.961550,48.244362,13.338
2884,10878263,K00341.02,Kepler-414 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,4.699652821,8.4770000e-06,-8.4770000e-06,177.6151900,1.360000e-03,-1.360000e-03,0,,,2.55300,0.04570,-0.04570,3.5140e+02,9.400e+00,-9.400e+00,1.74,2.000e-01,-1.700e-01,1024.0,,,260.54,91.02,-62.25,14.190000,1.000000,-1.000000,5497.00,109.00,-98.00,0.9410,0.1100,-0.0900,0.8840,0.0660,-0.0440,,,,297.961550,48.244362,13.338
2885,10982872,K00343.01,Kepler-142 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,4.761705895,3.4990000e-06,-3.4990000e-06,170.3357590,5.720000e-04,-5.720000e-04,0,,,3.30610,0.02130,-0.02130,4.9710e+02,3.900e+00,-3.900e+00,2.75,4.400e-01,-4.800e-01,1201.0,,,491.37,217.07,-182.30,10.430000,2.900000,-2.900000,5794.00,105.00,-117.00,1.2250,0.1940,-0.2130,1.0040,0.0860,-0.0700,,,,295.118900,48.481281,13.203
2886,10982872,K00343.02,Kepler-142 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,2.024143568,2.0590000e-06,-2.0590000e-06,170.4962040,7.880000e-04,-7.880000e-04,0,,,2.52730,0.02910,-0.02910,2.3940e+02,3.100e+00,-3.100e+00,1.94,3.100e-01,-3.400e-01,1597.0,,,1535.09,678.14,-569.52,5.400000,1.500000,-1.500000,5794.00,105.00,-117.00,1.2250,0.1940,-0.2130,1.0040,0.0860,-0.0700,,,,295.118900,48.481281,13.203
2887,2720514,K02979.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,0,1,0,CENT_RESOLVED_OFFSET,1.371288853,4.1640000e-06,-4.1640000e-06,131.9379600,2.400000e-03,-2.400000e-03,0,,,1.45280,0.08010,-0.08010,6.6200e+01,4.500e+00,-4.500e+00,1.15,3.700e-01,-1.600e-01,1837.0,,,2695.60,2567.35,-935.14,2.590000,1.300000,-1.300000,6220.00,172.00,-194.00,1.1080,0.3580,-0.1540,1.0660,0.1680,-0.1220,,,,293.070800,37.986870,13.328
2888,4141376,K00280.01,Kepler-1655 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,CENT_SATURATED,11.872908140,1.1450000e-05,-1.1450000e-05,180.8959330,7.270000e-04,-7.270000e-04,0,,,2.53420,0.04500,-0.04500,3.3270e+02,4.500e+00,-4.500e+00,2.25,1.000e-01,-1.000e-01,863.0,,,131.55,19.10,-18.64,16.910000,8.400000,-8.400000,6147.00,73.00,-92.00,1.0400,0.0470,-0.0470,1.0140,0.0660,-0.0590,,,,286.689450,39.211910,11.072
2889,9468551,K02980.01,Kepler-1399 b,CONFIRMED,Done,CANDIDATE,0.9870,0,0,0,0,NO_COMMENT,1.638652525,8.7490000e-06,-8.7490000e-06,132.2902500,5.120000e-03,-5.120000e-03,0,,,1.95200,0.11700,-0.11700,1.6690e+02,1.190e+01,-1.190e+01,1.29,4.100e-01,-1.400e-01,1610.0,,,1585.07,1592.93,-504.68,6.090000,2.600000,-2.600000,6119.00,211.00,-232.00,0.9810,0.3170,-0.1060,1.0390,0.1400,-0.1400,,,,293.311680,46.041710,15.490
2890,9076971,K02981.01,Kepler-1400 b,CONFIRMED,Done,CANDIDATE,0.2540,0,0,0,0,CENT_UNRESOLVED_OFFSET,9.066876130,7.2460000e-05,-7.2460000e-05,134.7518500,7.470000e-03,-7.470000e-03,0,,,3.38100,0.16900,-0.16900,3.6720e+02,2.870e+01,-2.870e+01,1.90,2.100e-01,-2.300e-01,725.0,,,65.52,26.88,-21.65,8.820000,4.400000,-4.400000,5142.00,179.00,-179.00,0.7890,0.0860,-0.0960,0.7450,0.1060,-0.0570,,,,286.271670,45.440811,15.737
2891,8360640,K02982.01,,CANDIDATE,Done,CANDIDATE,0.9990,0,0,0,0,NO_COMMENT,4.022310900,1.4980000e-05,-1.4980000e-05,135.1729800,3.060000e-03,-3.060000e-03,0,,,0.85300,0.13300,-0.13300,2.2780e+02,2.790e+01,-2.790e+01,1.37,3.100e-01,-1.300e-01,1017.0,,,253.28,170.33,-68.07,25.000000,12.300000,-12.300000,5516.00,149.00,-149.00,0.8270,0.1870,-0.0800,0.8730,0.0920,-0.0920,,,,290.043880,44.370602,14.264
2892,11019987,K03060.01,Kepler-1421 b,CONFIRMED,Done,CANDIDATE,0.9770,0,0,0,0,NO_COMMENT,6.913173200,1.6790000e-04,-1.6790000e-04,138.4219000,1.950000e-02,-1.950000e-02,0,,,4.73000,0.48500,-0.48500,3.9100e+01,3.800e+00,-3.800e+00,0.91,1.600e-01,-1.400e-01,1209.0,,,505.00,243.02,-174.16,10.850000,1.800000,-1.800000,6296.00,113.00,-126.00,1.4440,0.2520,-0.2270,1.2330,0.1020,-0.1140,,,,286.580600,48.544189,12.788
2893,4857058,K03061.01,,CANDIDATE,Done,CANDIDATE,0.9810,0,0,0,0,NO_COMMENT,7.328519470,2.3110000e-05,-2.3110000e-05,132.1285700,2.480000e-03,-2.480000e-03,0,,,1.21100,0.11400,-0.11400,2.7780e+02,2.760e+01,-2.760e+01,2.33,1.300e-01,-1.800e-01,807.0,,,100.13,18.77,-20.11,13.310000,6.600000,-6.600000,5135.00,84.00,-76.00,0.8740,0.0480,-0.0690,0.8120,0.0580,-0.0290,,,,297.042080,39.912231,14.316
2894,10924562,K03063.01,Kepler-1422 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,NO_COMMENT,18.605204600,2.9290000e-04,-2.9290000e-04,149.0376000,1.300000e-02,-1.300000e-02,0,,,6.82900,0.32000,-0.32000,2.4250e+02,2.100e+01,-2.100e+01,1.94,5.500e-01,-2.700e-01,833.0,,,113.88,95.74,-42.35,21.030000,1.200000,-1.200000,6572.00,187.00,-258.00,1.2380,0.3500,-0.1750,1.2980,0.1600,-0.2200,,,,293.890200,48.336121,15.665
2895,9899505,K03064.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,1,0,1,1,LPP_DV---CENT_FEW_DIFFS---HALO_GHOST---EPHEM_MATCH,1.332562787,2.2710000e-06,-2.2710000e-06,132.0513800,1.610000e-03,-1.610000e-03,0,,,6.28000,0.07360,-0.07360,1.1119e+03,1.100e+01,-1.100e+01,29.10,9.030e+00,-3.010e+00,1703.0,,,1983.27,1864.11,-618.35,1.344000,0.615000,-0.615000,6091.00,189.00,-232.00,0.9670,0.3000,-0.1000,1.0450,0.1390,-0.1390,,,,295.262270,46.781380,15.952
